iter	Passed	Remaining
0	128	64054
1	133	33225
2	137	22829
3	141	17587
4	148	14678
5	152	12584
6	156	11034
7	162	10000
8	168	9187
9	174	8557
10	182	8119
11	189	7701
12	197	7411
13	201	7006
14	206	6664
15	212	6431
16	217	6181
17	223	5979
18	231	5849
19	235	5654
20	241	5517
21	247	5384
22	251	5223
23	255	5072
24	260	4952
25	264	4819
26	268	4697
27	272	4596
28	277	4498
29	280	4399
30	284	4308
31	289	4227
32	293	4149
33	296	4069
34	301	4006
35	307	3962
36	312	3915
37	319	3882
38	329	3891
39	333	3840
40	337	3781
41	341	3727
42	348	3700
43	352	3649
44	356	3601
45	364	3598
46	369	3564
47	375	3537
48	381	3512
49	385	3472
50	390	3440
51	396	3418
52	400	3380
53	404	3341
54	409	3316
55	413	3279
56	417	3245
57	421	3211
58	426	3187
59	430	3155
60	433	3123
61	437	3093
62	443	3078
63	448	3053
64	452	3025
65	457	3006
66	464	2998
67	467	2972
68	472	2949
69	477	2932
70	481	2906
71	485	2884
72	490	2868
73	494	2845
74	498	2824
75	502	2801
76	507	2786
77	511	2768
78	515	2747
79	519	2729
80	528	2731
81	532	2716
82	537	2701
83	543	2689
84	547	2672
85	551	2655
86	557	2645
87	561	2627
88	565	2609
89	570	2597
90	574	2581
91	579	2570
92	583	2554
93	587	2537
94	591	2522
95	598	2518
96	602	2502
97	606	2486
98	610	2474
99	614	2459
100	618	2444
101	622	2429
102	627	2417
103	631	2403
104	634	2387
105	638	2374
106	643	2362
107	649	2356
108	654	2348
109	662	2348
110	667	2339
111	672	2330
112	680	2329
113	684	2318
114	688	2305
115	693	2296
116	698	2285
117	701	2272
118	706	2261
119	711	2253
120	715	2241
121	719	2229
122	728	2231
123	732	2220
124	736	2209
125	741	2200
126	747	2196
127	752	2186
128	757	2177
129	761	2167
130	765	2156
131	769	2145
132	775	2139
133	779	2128
134	783	2117
135	787	2108
136	793	2101
137	797	2090
138	801	2081
139	807	2077
140	812	2068
141	816	2057
142	820	2048
143	825	2040
144	829	2030
145	833	2021
146	837	2011
147	843	2006
148	848	1998
149	852	1989
150	858	1983
151	862	1973
152	866	1964
153	871	1958
154	876	1951
155	881	1943
156	885	1934
157	890	1927
158	894	1918
159	898	1908
160	902	1900
161	907	1893
162	911	1884
163	915	1875
164	920	1869
165	924	1860
166	928	1852
167	933	1844
168	939	1839
169	944	1833
170	949	1826
171	955	1822
172	960	1815
173	965	1808
174	971	1804
175	976	1797
176	981	1790
177	987	1786
178	991	1778
179	996	1772
180	1002	1767
181	1007	1760
182	1012	1753
183	1022	1756
184	1028	1751
185	1034	1746
186	1041	1743
187	1047	1737
188	1055	1737
189	1060	1730
190	1065	1723
191	1069	1716
192	1073	1708
193	1078	1701
194	1083	1695
195	1087	1687
196	1091	1678
197	1095	1670
198	1100	1664
199	1104	1656
200	1108	1648
201	1112	1640
202	1117	1634
203	1121	1626
204	1124	1618
205	1128	1610
206	1133	1604
207	1137	1597
208	1141	1589
209	1145	1582
210	1152	1578
211	1157	1572
212	1160	1564
213	1167	1560
214	1172	1553
215	1175	1546
216	1180	1539
217	1185	1532
218	1189	1526
219	1193	1518
220	1199	1513
221	1203	1506
222	1206	1499
223	1212	1493
224	1216	1486
225	1220	1479
226	1224	1473
227	1229	1466
228	1233	1459
229	1237	1453
230	1243	1447
231	1249	1443
232	1254	1437
233	1258	1431
234	1264	1426
235	1268	1418
236	1272	1412
237	1276	1405
238	1281	1399
239	1286	1393
240	1290	1386
241	1295	1380
242	1299	1374
243	1303	1367
244	1307	1361
245	1315	1357
246	1319	1351
247	1323	1344
248	1328	1339
249	1333	1333
250	1336	1326
251	1341	1320
252	1346	1314
253	1350	1308
254	1355	1301
255	1360	1296
256	1365	1291
257	1369	1284
258	1373	1278
259	1379	1273
260	1383	1266
261	1387	1260
262	1391	1254
263	1396	1248
264	1400	1241
265	1403	1235
266	1408	1229
267	1412	1223
268	1416	1216
269	1420	1209
270	1425	1204
271	1429	1197
272	1432	1191
273	1436	1185
274	1442	1180
275	1446	1173
276	1450	1167
277	1456	1162
278	1463	1159
279	1467	1153
280	1471	1146
281	1477	1141
282	1481	1136
283	1485	1129
284	1490	1124
285	1494	1118
286	1498	1112
287	1502	1106
288	1507	1100
289	1511	1094
290	1515	1088
291	1519	1082
292	1525	1077
293	1529	1071
294	1533	1065
295	1542	1062
296	1546	1056
297	1550	1050
298	1554	1045
299	1560	1040
300	1564	1034
301	1568	1028
302	1573	1023
303	1577	1017
304	1581	1011
305	1585	1005
306	1590	1000
307	1594	994
308	1598	988
309	1604	983
310	1609	978
311	1613	972
312	1618	966
313	1623	961
314	1626	955
315	1631	949
316	1635	944
317	1640	938
318	1644	933
319	1648	927
320	1653	921
321	1657	916
322	1661	910
323	1665	904
324	1671	900
325	1676	894
326	1680	889
327	1685	883
328	1689	878
329	1693	872
330	1697	866
331	1701	861
332	1706	855
333	1709	849
334	1713	844
335	1719	839
336	1723	833
337	1727	827
338	1731	822
339	1736	817
340	1740	811
341	1744	806
342	1752	802
343	1756	796
344	1760	790
345	1764	785
346	1770	780
347	1774	775
348	1779	770
349	1786	765
350	1789	759
351	1794	754
352	1798	748
353	1802	743
354	1807	738
355	1811	732
356	1816	727
357	1820	722
358	1824	716
359	1828	710
360	1833	705
361	1837	700
362	1841	694
363	1845	689
364	1850	684
365	1855	679
366	1859	673
367	1863	668
368	1869	663
369	1873	658
370	1877	652
371	1882	647
372	1887	642
373	1890	637
374	1896	632
375	1901	626
376	1906	621
377	1909	616
378	1913	610
379	1917	605
380	1922	600
381	1926	595
382	1930	589
383	1934	584
384	1939	579
385	1942	573
386	1946	568
387	1950	563
388	1956	558
389	1960	553
390	1965	547
391	1970	542
392	1974	537
393	1978	532
394	1981	526
395	1987	522
396	1992	516
397	1995	511
398	2000	506
399	2004	501
400	2008	495
401	2012	490
402	2016	485
403	2021	480
404	2024	474
405	2028	469
406	2036	465
407	2040	460
408	2044	454
409	2048	449
410	2054	444
411	2058	439
412	2062	434
413	2067	429
414	2071	424
415	2075	419
416	2079	413
417	2084	408
418	2088	403
419	2092	398
420	2096	393
421	2101	388
422	2105	383
423	2109	378
424	2114	373
425	2118	368
426	2122	362
427	2126	357
428	2131	352
429	2136	347
430	2139	342
431	2143	337
432	2149	332
433	2154	327
434	2158	322
435	2162	317
436	2170	312
437	2174	307
438	2178	302
439	2183	297
440	2187	292
441	2191	287
442	2195	282
443	2200	277
444	2204	272
445	2208	267
446	2212	262
447	2217	257
448	2221	252
449	2225	247
450	2230	242
451	2234	237
452	2238	232
453	2242	227
454	2247	222
455	2251	217
456	2255	212
457	2259	207
458	2265	202
459	2270	197
460	2275	192
461	2280	187
462	2284	182
463	2288	177
464	2292	172
465	2298	167
466	2302	162
467	2305	157
468	2313	152
469	2317	147
470	2321	142
471	2325	137
472	2331	133
473	2334	128
474	2339	123
475	2343	118
476	2348	113
477	2352	108
478	2356	103
479	2360	98
480	2366	93
481	2370	88
482	2373	83
483	2379	78
484	2383	73
485	2387	68
486	2392	63
487	2396	58
488	2400	54
489	2405	49
490	2410	44
491	2414	39
492	2418	34
493	2424	29
494	2428	24
495	2433	19
496	2437	14
497	2445	9
498	2449	4
499	2453	0
